日期,地区,品类,销售额,订单量,毛利率
2025-08-10,西南,服饰,2535.47,287,0.1589
2025-06-20,华东,数码,9241.67,186,0.4027
2025-04-13,华北,家电,17860.52,238,0.29
2025-07-08,西南,家电,19246.38,189,0.1974
2025-04-01,华南,美妆,1411.56,61,0.135
2025-07-16,西南,数码,11591.38,250,0.2709
2025-02-03,华南,家电,10462.36,176,0.3391
2025-08-24,华北,美妆,3184.09,165,0.2372
2025-02-18,华东,服饰,4443.61,94,0.2006
2025-07-15,华南,美妆,3005.38,43,0.416
2025-01-15,华南,家电,8622.05,173,0.2709
2025-07-06,华东,数码,9177.54,44,0.3476
2025-02-04,华南,家电,13374.21,27,0.3536
2025-06-14,西南,服饰,4113.43,265,0.3803
2025-02-26,华北,家电,12263.26,76,0.3381
2025-01-13,华东,数码,11589.08,105,0.2541
2025-07-13,华南,数码,10662.87,226,0.3896
2025-07-13,华东,食品,2478.12,65,0.4027
2025-06-02,华北,家电,12132.67,221,0.3512
2025-02-26,华北,服饰,5122.71,161,0.4033
2025-04-17,西南,数码,10023.05,253,0.3061
2025-07-21,华北,美妆,1670.66,239,0.2121
2025-03-16,西南,食品,3450.62,277,0.2941
2025-02-04,华东,家电,9284.17,118,0.1914
2025-05-17,西南,数码,12173.58,87,0.2024
2025-05-25,华南,数码,14740.79,125,0.2909
2025-06-13,华北,家电,19335.58,151,0.3797
2025-06-21,西南,数码,14007.15,77,0.2568
2025-04-07,西南,美妆,2268.81,208,0.2293
2025-06-19,西南,美妆,2029.2,218,0.3901
2025-04-13,华东,服饰,4001.68,88,0.4008
2025-08-14,华北,美妆,2223.11,281,0.2902
2025-07-20,华南,食品,1076.48,219,0.1984
2025-02-18,西南,美妆,3535.17,107,0.1778
2025-05-24,华北,数码,11651.3,199,0.4379
2025-02-10,华南,食品,3968.6,244,0.1465
2025-05-30,华南,服饰,2816.59,24,0.2417
2025-02-22,华东,家电,15100.05,223,0.4392
2025-07-11,西南,数码,5357.5,26,0.3525
2025-06-27,华北,服饰,5937.9,160,0.2599
2025-04-27,华东,家电,15972.85,50,0.3239
2025-02-13,华东,家电,15840.86,280,0.3528
2025-07-24,华南,数码,15499.58,283,0.3849
2025-05-31,西南,数码,7386.65,24,0.4338
2025-02-05,华南,数码,16252.57,84,0.3305
2025-01-15,华北,食品,3642.9,290,0.1226
2025-06-06,西南,家电,8550.1,82,0.1341
2025-07-03,华南,美妆,1906.76,147,0.1947
2025-07-25,华北,食品,2696.82,295,0.3935
2025-08-10,西南,服饰,4303.59,237,0.1642
2025-07-19,华南,食品,2636.35,32,0.2457
2025-04-29,华东,数码,5718.27,213,0.3024
2025-08-27,华北,服饰,3658.77,87,0.2938
2025-01-05,华北,美妆,4142.31,224,0.2395
2025-01-20,西南,美妆,2372.76,79,0.4094
2025-06-18,华东,服饰,4929.65,135,0.3962
2025-01-31,西南,数码,9784.94,255,0.3534
2025-05-23,华北,食品,2559.35,93,0.1426
2025-07-15,华东,数码,10112.39,21,0.2326
